business_name,searched_at,source_type,source_url,result,note
"Mover-T, Clínica de Fisioterapia Integral",2026-06-16T18:21:32,web_search,https://www.bing.com/search?q=%22Mover-T%2C%20Cl%C3%ADnica%20de%20Fisioterapia%20Integral%22%20%22Narvarte%22%20contacto,searched,"""Mover-T, Clínica de Fisioterapia Integral"" ""Narvarte"" contacto"
"Mover-T, Clínica de Fisioterapia Integral",2026-06-16T18:21:32,summary,https://www.google.com/maps/search/?api=1&query=Mover-T%2C%20Cl%C3%ADnica%20de%20Fisioterapia%20Integral%20Pilares%20506%20fisioterapia%20Narvarte%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Yuvā Medicina Estética,2026-06-16T18:21:33,web_search,https://www.bing.com/search?q=%22Yuv%C4%81%20Medicina%20Est%C3%A9tica%22%20correo%20contacto,searched,"""Yuvā Medicina Estética"" correo contacto"
Yuvā Medicina Estética,2026-06-16T18:21:33,web_search,https://www.bing.com/search?q=%22Yuv%C4%81%20Medicina%20Est%C3%A9tica%22%20email,searched,"""Yuvā Medicina Estética"" email"
Yuvā Medicina Estética,2026-06-16T18:21:33,web_search,https://www.bing.com/search?q=%22Yuv%C4%81%20Medicina%20Est%C3%A9tica%22%20%22Roma%20Norte%22%20contacto,searched,"""Yuvā Medicina Estética"" ""Roma Norte"" contacto"
Yuvā Medicina Estética,2026-06-16T18:21:33,summary,https://www.google.com/maps/search/?api=1&query=Yuv%C4%81%20Medicina%20Est%C3%A9tica%20M%C3%A9rida%20255%20cl%C3%ADnica%20est%C3%A9tica%20Roma%20Norte%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
18setenta CDMX,2026-06-16T18:21:34,web_search,https://www.bing.com/search?q=%2218setenta%20CDMX%22%20correo%20contacto,searched,"""18setenta CDMX"" correo contacto"
18setenta CDMX,2026-06-16T18:21:34,web_search,https://www.bing.com/search?q=%2218setenta%20CDMX%22%20email,searched,"""18setenta CDMX"" email"
18setenta CDMX,2026-06-16T18:21:35,web_search,https://www.bing.com/search?q=%2218setenta%20CDMX%22%20%22Polanco%22%20contacto,searched,"""18setenta CDMX"" ""Polanco"" contacto"
18setenta CDMX,2026-06-16T18:21:35,summary,https://www.google.com/maps/search/?api=1&query=18setenta%20CDMX%20Av%20Moliere%20129%20dise%C3%B1o%20interior%20Polanco%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Clínica Dental Condesa,2026-06-16T18:21:35,web_search,https://www.bing.com/search?q=%22Cl%C3%ADnica%20Dental%20Condesa%22%20correo%20contacto,searched,"""Clínica Dental Condesa"" correo contacto"
Clínica Dental Condesa,2026-06-16T18:21:36,web_search,https://www.bing.com/search?q=%22Cl%C3%ADnica%20Dental%20Condesa%22%20email,searched,"""Clínica Dental Condesa"" email"
Clínica Dental Condesa,2026-06-16T18:21:36,web_search,https://www.bing.com/search?q=%22Cl%C3%ADnica%20Dental%20Condesa%22%20%22Condesa%22%20contacto,searched,"""Clínica Dental Condesa"" ""Condesa"" contacto"
Clínica Dental Condesa,2026-06-16T18:21:36,summary,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dental%20Condesa%20Av.%20Veracruz%2028%20B%20dentista%20Condesa%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Ethos Consultorio Odontológico,2026-06-16T18:21:37,web_search,https://www.bing.com/search?q=%22Ethos%20Consultorio%20Odontol%C3%B3gico%22%20correo%20contacto,searched,"""Ethos Consultorio Odontológico"" correo contacto"
Ethos Consultorio Odontológico,2026-06-16T18:21:37,web_search,https://www.bing.com/search?q=%22Ethos%20Consultorio%20Odontol%C3%B3gico%22%20email,searched,"""Ethos Consultorio Odontológico"" email"
Ethos Consultorio Odontológico,2026-06-16T18:21:38,web_search,https://www.bing.com/search?q=%22Ethos%20Consultorio%20Odontol%C3%B3gico%22%20%22Coyoac%C3%A1n%22%20contacto,searched,"""Ethos Consultorio Odontológico"" ""Coyoacán"" contacto"
