business_name,country,city,zone,reason,matched_existing_record,matched_source_file,source_url
Consultorio Medico-ortodoncia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547910269
Diagnostico Las Torres S.A. de C.V,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547939711
Dentista Clínica Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547984444
Dental Rey,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547984500
Brackets Toluca,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.bracketsco.com/,,https://www.openstreetmap.org/node/12547986866
IBIM Instituto Bicentenario Inglés de México S.C.,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://ibim.edu.mx/,,https://www.openstreetmap.org/node/12548002470
Clinica Dental Redent,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548043780
Medica Dental Angeles,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548050863
Toshio Consultorio De Ortodoncia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548052462
Slim Body Medical,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548067809
Unidad Medico Familiar,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548076955
Consultorio Medico Especializado,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548495292
Consultorio Dental Pekas Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548619874
Family For Life,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12548657514
Optica Lumen,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12549355474
Medicina Intragral,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12550216759
Coi Dental Clinica Odontologica Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12551166170
Centro Odontologico De Especialidades Metepec,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552287374
Consultorio Dental Sonrie,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552320968
Orto Sanident,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552583770
Dental smile studio,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552608033
Centro integral de salud,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552620165
Psicólogos Enlace Emocional Toluca,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.enlace-emocional.com/,,https://www.openstreetmap.org/node/12552651685
Instituto Avanzado en Ortodoncia y Oclusión S.C.,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552724617
LINLAND Escuela de Idiomas,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552833504
Consultorio Neurologia 104,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552876211
Bienestar y Nueva Imagen Control de Peso,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12552934957
Consultorio Psicologia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554729378
Condultorio Dental Mont,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554741369
Clínica Elemental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554747054
